Name,Bitcoin
"Microstrategy, Inc.",499226.0
"MARA Holdings, Inc.",46374.0
"Riot Platforms, Inc.",18692.0
"Tesla, Inc.",11509.0
"CleanSpark, Inc.",11177.0
Hut 8 Mining Corp,10273.0
"Coinbase Global, Inc.",9480.0
"Block, Inc.",8485.0
Bitcoin Group SE,3605.0
Metaplanet Inc.,3200.0
Semler Scientific,3192.0
Boyaa Interactive International Limited,3183.0
Galaxy Digital Holdings Ltd,3150.0
HIVE Digital Technologies,2620.0
Cango Inc,1945.0
"Exodus Movement, Inc",1900.0
BITFUFU,1800.0
"NEXON Co., Ltd.",1717.0
Fold Holdings Inc.,1485.0
Cipher Mining,1344.0
Canaan Inc.,1231.0
Aker ASA,1170.0
Bitfarms Ltd.,1152.0
Ming Shing Group,833.0
Bitdeer Technologies Group,805.0
"Bit Digital, Inc.",742.1
Remixpoint,616.0
KULR Technology Group,610.0
Samara Asset Group,525.0
Jasmine International PCL,506.4
Genius Group,440.0
DMG Blockchain Solutions Inc.,423.0
"MercadoLibre, Inc.",412.7
Neptune Digital Assets,376.0
Nano Labs,360.0
Net Holding A.S.,352.0
Advanced Bitcoin Technologies AG,242.2
WEMADE,223.0
DeFi Technologies,204.3
Incrementum Digital & Physical Gold Fund,197.0
Rumble Inc.,188.0
LQWD Technologies Corp.,161.0
LM Funding America,160.5
Banxa Holdings Inc.,136.0
Neowiz holdings,123.0
The Brooker Group,122.3
DigitalX,114.9
BIGG Digital Assets Inc.,100.0
Coinshares International Limited,93.0
BTCS Inc.,78.53
YUXING,78.2
Bitcoin Depot,71.5
Matador Technologies Inc,68.14
SBC Medical Group Holdings Inc,66.0
FRMO Corp.,62.84
bitmax,50.0
Mogo Inc.,50.0
Cathedra Bitcoin Inc.,48.1
M̩liuz,45.73
"Linekong Interactive Group Co., Ltd",44.2
WonderFi,42.6
The Blockchain Group,40.0
SATO Technologies Corp,36.0
OneMedNet Corp.,34.0
Kontrol Technologies,24.0
Vinanz,23.52
Cypherpunk Holdings Inc.,23.17
Core Scientific,21.02
Digihost Technology Inc.,17.0
Globant S.A.,15.0
TeraWulf,15.0
Jetking Infotrain Ltd.,14.77
NameSilo Technologies Corp,14.41
Intesa Sanpaolo,11.0
Thumzup,9.783
Bitcoin Well Inc,7.531
"BlackRock, Inc.",6.15
Coin Citadel,4.0
Leef Brands Inc,3.937
Argo Blockchain PLC,3.0
Sphere 3D,1.3
Altvest Capital,1.0
HK Asia Holdings,1.0
